apple:りんご (ringo)
book:本 (hon)
cat:猫 (neko)
dog:犬 (inu)
elephant:象 (zou)
flower:花 (hana)
grape:ぶどう (budou)
house:家 (ie)
ice cream:アイスクリーム (aisu kurīmu)
juice:ジュース (jūsu)
king:王 (ou)
lemon:レモン (remon)
mountain:山 (yama)
night:夜 (yoru)
orange:オレンジ (orenji)
pencil:鉛筆 (enpitsu)
queen:女王 (joou)
rabbit:ウサギ (usagi)
sun:太陽 (taiyou)
turtle:亀 (kame)
umbrella:傘 (kasa)
violin:バイオリン (baiorin)
water:水 (mizu)
xylophone:木琴 (mokkin)
yogurt:ヨーグルト (yōguruto)
zebra:シマウマ (shimau ma)
beach:浜 (hama)
cloud:雲 (kumo)
dolphin:イルカ (iruka)
forest:森 (mori)
guitar:ギター (gitā)
honey:蜂蜜 (hachimitsu)
island:島 (shima)
kangaroo:カンガルー (kangarū)
lion:ライオン (raion)
mushroom:キノコ (kinoko)
narwhal:イッカク (ikkaku)
octopus:タコ (tako)
penguin:ペンギン (pengin)
rainbow:虹 (niji)
