mountain:山 (yama)
grape:ぶどう (budou)
queen:女王 (joou)
cloud:雲 (kumo)
kangaroo:カンガルー (kangarū)
orange:オレンジ (orenji)
turtle:亀 (kame)
book:本 (hon)
elephant:象 (zou)
house:家 (ie)
lemon:レモン (remon)
night:夜 (yoru)
pencil:鉛筆 (enpitsu)
strawberry:苺 (ichigo)
water:水 (mizu)
beach:浜 (hama)
cat:猫 (neko)
dolphin:イルカ (iruka)
flower:花 (hana)
honey:蜂蜜 (hachimitsu)
island:島 (shima)
king:王 (ou)
lion:ライオン (raion)
mushroom:キノコ (kinoko)
octopus:タコ (tako)
penguin:ペンギン (pengin)
rainbow:虹 (niji)
sun:太陽 (taiyou)
umbrella:傘 (kasa)
yogurt:ヨーグルト" (yōguruto)
apple:りんご (ringo)
butterfly:蝶 (chou)
chair:椅子 (isu)
dog:犬 (inu)
fish:魚 (sakana)
forest:森 (mori)
guitar:ギター (gitā)
icecream:アイスクリーム (aisu kurīmu)
juice:ジュース (jūsu)
moon:月 (tsuki)
narwhal:イッカク (ikkaku)
rabbit:ウサギ (usagi)
star:星 (hoshi)
tree:木 (ki)
violin:バイオリン (baiorin)
xylophone:木琴 (mokkin)
zebra:シマウマ (shimau ma)
car:車 (kuruma)
clock:時計 (tokei)
